,Category,Message
2103,ham,audrie lousy autocorrect
2860,ham,know god created gap fingers one made comes amp fills gaps holding hand love
338,ham,sleeping surfing
2689,ham,yes know cheesy songs frosty snowman
4015,ham,sorry text amp drive coherently see twenty
1266,ham,im inperialmusic listening weirdest track ever leafcutter john sounds like insects molested someone plumbing remixed evil men acid
3804,ham,yup song bro creative neva test quality said check review online
2225,ham,prefer free days tues wed fri oso ask workin lor
3159,ham,thank u better work cause feel used otherwise
3313,ham,know serving mean
2552,ham,done c
4575,ham,
3163,ham,describe lucky actually awake noon
3662,ham,well great weekend
4788,ham,thk wat eat tonight
5162,ham,send text skype later
298,ham,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl
5333,ham,neither sterm voice studying fine sure thing resolved tho anyway fab hols
2502,ham,da today also forgot
1025,ham,pattern recently crap weekends
923,ham,shall fine avalarr hollalater
3433,spam,camera awarded sipix digital camera call fromm landline delivery within days
4667,ham,tel software name
2801,ham,house maid murderer coz man murdered lt gt th january public holiday govt instituitions closed including post office
1059,ham,tell female v throwing deciding get
582,ham,ok anyway need change said
3344,ham,forgotten might couple bucks send tomorrow k love ya
1647,ham,thts wat wright brother fly
1934,ham,r u scratching
4134,spam,freemsg today day ready horny live town love sex fun games netcollex ltd p per msg reply stop end
2721,ham,ok lor
5495,ham,good afternoon love goes day sleep hope well boytoy think
201,ham,sent lt gt bucks
61,ham,ha ha ha good joke girls situation seekers
2674,ham,good afternoon boytoy feeling today better hope good boy obedient slave please queen
5268,ham,er enjoyin indians mo yep sall good hehe hows bout u shexy pete xx
1428,ham,thing r good thanx got exams march ive done revision fran still boyf ive gotta interviw exeter bit worried x
1766,ham,hi yijue regarding textbook intro algorithms second edition selling
64,ham,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
3757,ham,yes tv always available work place
578,ham,wait sch finish ard
5478,ham,probably lt gt
2075,ham,yar lor actually quite fast cos da ge slow wat haha
3444,ham,board working fine issue overheating also reslove still software inst pending come around clock
792,ham,e best ur driving tmr
1156,ham,sorry man accidentally left phone silent last night check til got
4959,ham,u call lunch
1646,ham,post l r class
3528,ham,send naughty pix
3208,ham,phone weirdest auto correct
2889,ham,take phone callon friday assume year
4647,spam,tried contact reply offer video phone anytime network mins half price line rental camcorder reply call
4107,ham,k marrow coming class
820,ham,boo babe u enjoyin yourjob u seemed b gettin well hunny hope ure ok take care llspeak u soonlots loveme xxxx
181,ham,lifted hopes offer money need especially end month approaches hurts studying anyways gr weekend
4301,ham,erm woodland avenue somewhere get parish magazine telephone number
1792,ham,u lost ill always b u intend hurt u never knew u felt iwas marine itried tell urmom careabout u
2780,ham,well might come
1952,ham,haha really oh deduct lesson tmr
215,ham,sounds great home
4018,ham,eek lot time especially since american pie like minutes long stop singing
3613,ham,k roommate also wants dubsack another friend may also want plan bringing extra tell know sure
5505,ham,told tell stupid hear wont tell anything dad called brother spoken
5367,ham,trying figure suppose see couple different people week said get together set dates
818,ham,also bringing galileo dobby
2216,ham,prabha soryda realy frm heart sory
2363,ham,hope settled new school year wishin gr day
1883,ham,sorry help
4825,ham,thought bout drink tap spile seven pub gas st broad st canal ok
4451,ham,awesome minute
3280,ham,solve case man found murdered lt decimal gt lt gt afternoon wife called police police questioned everyone wife sir sleeping murder took place cook cooking gardener picking vegetables house maid went post office children went play neighbour went marriage police arrested murderer immediately reply reason u r brilliant
4,ham,nah think goes usf lives around though
116,ham,entered cabin pa said happy b day boss felt special askd lunch lunch invited apartment went
4605,ham,thanx puttin da fone
1523,ham,thk u dun haf hint e forum already lor cos told ron n darren going tell shuhui
3327,ham,huh fast dat means u havent finished painting
4784,ham,especially since talk boston personal statement lol woulda changed realized said nyc says boston
3347,ham,u welcome caught u using broken english
3824,ham,please protect e threats sib never asks sensitive information like passwords atm sms pin thru email never share password anybody
4543,spam,freemsg hi baby wow got new cam moby wanna c hot pic fancy chat im w utxt rply chat hlp msg p rcv
88,ham,really still tonight babe
5046,ham,sent jd customer service cum accounts executive ur mail id details contact us
1986,ham,length e e top shorter n got fringe thk going liao lazy dun wan distract u also
2584,ham,goodmorning today late hr
712,ham,seems like weird timing night g want come smoke day shitstorm attributed always coming making everyone smoke
2757,ham,good trip watch remember get back must decide easter
2315,ham,also chat awesome make regular unless see person
1404,ham,cool fun practicing making babies
788,spam,ever thought living good life perfect partner txt back name age join mobile community p sms
2774,spam,come takes little time child afraid dark become teenager wants stay night
3053,ham,please leave topic sorry telling
480,ham,guys getting back g said thinking staying mcr
2366,ham,ok try week end course coimbatore
5530,ham,think tantrum finished yeah point
2405,ham,please give pick tuesday evening ok
2428,ham,think move lt gt week
5205,spam,mobile mths update free oranges latest colour camera mobiles unlimited weekend calls call mobile upd freefone stoptxt
1734,spam,hi mandy sullivan calling hotmix fm chosen receive easter prize draw please telephone claim prize transferred someone else
4550,ham,haha friend tyler literally asked could get dubsack
3593,ham,anything lor
3559,ham,da vijay going talk jaya tv
2068,ham,say hi drugdealer
1148,ham,ok help ask working tmr
